month,mrr,signups,churn_rate,cac,ltv,ltv_cac_ratio,activation_rate,active_users,rev_per_user
1,12089.5,195,0.0597,75.35,833.16,11.06,0.193,243,49.75
2,12279.06,179,0.052,79.69,960.1,12.05,0.2294,246,49.91
3,12311.47,174,0.0461,79.63,1170.95,14.7,0.2334,228,54.0
4,12216.69,162,0.0572,80.46,958.12,11.91,0.1587,223,54.78
5,12230.01,184,0.0456,82.7,1081.76,13.08,0.1888,248,49.31
6,12660.01,342,0.05,125.17,988.45,7.9,0.2037,256,49.45
7,13107.49,306,0.0502,126.2,997.19,7.9,0.1954,262,50.03
8,12973.9,407,0.09,135.65,548.11,4.04,0.1712,263,49.33
9,12656.74,382,0.07,130.5,726.14,5.56,0.1913,249,50.83
10,13268.96,250,0.05,92.39,957.58,10.36,0.2177,277,47.9
11,28780.77,225,0.0465,73.69,2220.13,30.13,0.2605,279,103.16
12,14595.69,232,0.0481,86.61,970.25,11.2,0.2925,313,46.63
13,14861.6,242,0.0458,110.91,1123.38,10.13,0.3181,289,51.42
14,15052.45,257,0.051,97.48,966.89,9.92,0.3447,305,49.35
15,15437.77,257,0.0535,80.08,899.57,11.23,0.3785,321,48.09
16,15490.23,268,0.0569,86.44,898.32,10.39,0.4068,303,51.12
17,15781.9,294,0.0544,92.91,903.0,9.72,0.4348,321,49.16
18,16027.77,282,0.0546,91.79,903.33,9.84,0.4681,325,49.32
